País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Coveite	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.022,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$14.424,00
Cuba	Suco	$199,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Curaçao	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$1.872,00	$1.755,00	$0,00	$2.012,00	$1.641,00
Dinamarca	Suco	$0,00	$0,00	$0,00	$184.388,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$229,00	$118,00	$143,00	$294,00
Dominica, Ilha de	Suco	$0,00	$0,00	$324,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$44,00	$0,00	$0,00	$0,00
El Salvador	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Emirados Árabes Unidos	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$455,00	$2.383,00
Equador	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$21.675,00	$0,00
Espanha	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$3.799,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Estados Unidos	Suco	$497.587,00	$706.224,00	$498.161,00	$2.002.894,00	$422.800,00	$330.287,00	$0,00	$97.968,00	$25.290,00	$42.721,00	$21.663,00	$69.200,00	$56.911,00	$1.963,00	$122.865,00	$1.381.158,00
