País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Emirados Árabes Unidos	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	396,00	1.548,00
Equador	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	14.268,00	0,00
Espanha	Suco	0,00	0,00	0,00	0,00	0,00	960,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Estados Unidos	Suco	416.229,00	442.049,00	220.264,00	985.916,00	204.956,00	86.325,00	0,00	37.779,00	8.970,00	19.753,00	11.508,00	32.252,00	27.645,00	455,00	73.431,00	702.976,00
Falkland (Malvinas)	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	50,00	0,00	0,00	0,00
Filipinas	Suco	20.405,00	17.225,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	102.555,00	0,00	0,00	24,00	0,00	109,00	64,00
Finlândia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
França	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	24,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00	0,00
Gana	Suco	0,00	0,00	0,00	0,00	2.626,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Gibraltar	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	108,00
Grêcia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	72,00	66,00	392,00	10,00
Guatemala	Suco	0,00	2.388,00	0,00	1.800,00	1.656,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Guiana	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	350,00	24,00
Guiana Francesa	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	396,00
Guiné Bissau	Suco	0,00	0,00	0,00	0,00	32,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Guine Equatorial	Suco	0,00	0,00	280,00	0,00	0,00	0,00	0,00	0,00	45,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Haiti	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	864,00	0,00	0,00	0,00	420,00	4.818,00
Hong Kong	Suco	55.650,00	0,00	0,00	0,00	0,00	0,00	77,00	0,00	0,00	28.371,00	2.751,00	19.211,00	16.170,00	818,00	1.170,00	2.010,00
Hungria	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Ilha de Man	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	72,00	24,00	14,00
India	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	48,00	66,00	0,00	258,00
Indonêsia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Irã	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	150,00	5,00
Iraque	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Israel	Suco	0,00	0,00	0,00	18.550,00	18.550,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Itália	Suco	78.000,00	19.500,00	58.500,00	37.500,00	0,00	0,00	0,00	0,00	0,00	6,00	0,00	0,00	0,00	0,00	0,00	4.968,00
Iugoslâvia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Jamaica	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Japão	Suco	3.614.425,00	4.772.487,00	5.570.468,00	4.003.555,00	2.707.950,00	4.001.175,00	2.168.980,00	3.535.083,00	4.450.419,00	2.036.338,00	1.845.255,00	1.890.810,00	1.006.241,00	1.381.569,00	481.953,00	950.486,00
Líbano	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	9,00	14.880,00
Libêria	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	336,00	520,00	842,00	878,00
Líbia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	7.584,00	30.720,00	33.156,00	0,00	0,00	0,00	207.360,00	16.587,00	285.756,00
Luxemburgo	Suco	722,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	130,00
Malásia	Suco	18.550,00	18.550,00	37.100,00	18.550,00	0,00	18.550,00	0,00	18.550,00	0,00	0,00	0,00	0,00	0,00	9.275,00	10.070,00	0,00
Malta	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	41,00	276,00	2.364,00	1.500,00
Marshall, Ilhas	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	492,00	817,00	1.479,00	4.282,00
